,index,Title,Rank,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,Distributor,Domestic_Opening,Budget,Release_Month,Rating,Runtime,Markets,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western,Paramount Pictures,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.
79,167,Inception,81,836836967,292576195.0,35.0,544260772,65.0,2010,Warner Bros.,62785337.0,160000000.0,7.0,PG13,148.0,62.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
80,169,Transformers: Revenge of the Fallen,82,836303693,402111870.0,48.1,434191823,51.9,2009,DreamWorks,108966307.0,200000000.0,6.0,PG13,149.0,62.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,171,The Twilight Saga: Breaking Dawn  Part 2,83,829747654,292324737.0,35.2,537422917,64.8,2012,Lionsgate,141067634.0,120000000.0,11.0,PG13,115.0,53.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,173,SpiderMan,84,825025036,407022860.0,49.3,418002176,50.7,2002,Sony Pictures Entertainment (SPE),114844116.0,139000000.0,5.0,PG13,121.0,69.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
83,175,Wonder Woman,85,822824522,412815408.0,50.2,410009114,49.8,2017,Warner Bros.,103251471.0,149000000.0,5.0,PG13,141.0,45.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
84,177,Hi Mom,86,822009764,142139839.41702494,41.696187175043335,822009764,100.0,2021,,37095965.9287576,90344416.66666667,2.0,,128.0,50.45238095238095,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,179,Independence Day,87,817400891,306169268.0,37.5,511231623,62.5,1996,Twentieth Century Fox,50228264.0,75000000.0,7.0,PG13,145.0,50.45238095238095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
86,181,Fantastic Beasts and Where to Find Them,88,814044001,234037575.0,28.8,580006426,71.2,2016,Warner Bros.,74403387.0,180000000.0,11.0,PG13,132.0,42.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,183,Shrek the Third,89,813367380,322719944.0,39.7,490647436,60.3,2007,DreamWorks,121629270.0,160000000.0,5.0,PG,93.0,42.0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,185,Coco,90,807817888,210460015.0,26.0,597357873,74.0,2017,Walt Disney Studios Motion Pictures,50802605.0,90344416.66666667,10.0,PG,105.0,54.0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
89,187,Jumanji: The Next Level,91,800059707,320314960.0,40.0,479744747,60.0,2019,Sony Pictures Entertainment (SPE),59251543.0,125000000.0,12.0,PG13,123.0,54.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,189,Harry Potter and the Prisoner of Azkaban,92,797361618,249975996.0,31.4,547385622,68.6,2004,Warner Bros.,93687367.0,130000000.0,5.0,PG,142.0,48.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
91,191,Pirates of the Caribbean: Dead Men Tell No Tales,93,794881442,172558876.0,21.7,622322566,78.3,2017,Walt Disney Studios Motion Pictures,62983253.0,230000000.0,5.0,PG13,129.0,52.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,193,E.T. the ExtraTerrestrial,94,792910554,435110554.0,54.9,357800000,45.1,1982,Universal Pictures,11835389.0,10500000.0,6.0,PG,115.0,50.45238095238095,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
